1566	1	I heard the sound of the birds	I saw the sound of the birds
1567	0	nurses take care of doctors	nurses take care of patients
1568	0	the fans sat in the soccer field to enjoy the football match	the fans sat in the stands to enjoy the football match
1569	1	I called a taxi and paid for the trip	I called a taxi and paid for the car
1570	1	I keep things orderly so that I can find something quick	I keep things messy so that I can find something quick
1571	1	I wore my wedding ring on my left hand	I wore my wedding ring on my left foot
1572	1	a calculator can help you do sums faster	a ruler can help you do sums faster
1573	1	villagers dug a well to get water	villagers planted a well to get water
1574	1	I used glass to make a fish tank by myself	I used steel to make a fish tank by myself
1575	1	I put my books in the bookshelf	I put my books in the wine rack
1576	1	everyone is amazed at her appearance when they first time see her	everyone is amazed at her appearance when they first time smell her
1577	0	we need woods to produce erasers	we need woods to produce pencils
1578	1	I sunbathe on the beach every summer vacation	I sunbathe on the dressing room every summer vacation
1579	1	a fine day is a good chance to dry the clothes	a rainy day is a good chance to dry the clothes
1580	0	if you are robbed you should call the firefighter	if you are robbed you should call the police
1581	1	he had an operation on his brain yesterday	he had an operation on his mind yesterday
1582	1	the fish is a very common dish for coastal people	the bait is a very common dish for coastal people
1583	1	I see a duck swimming in the river	I see a duck diving in the river
1584	0	I spent more time on having fun so I had better grades	I spent more time on studying so I had better grades
1585	1	I bought some beef from the butcher to restock my freezer	I bought some apple from the butcher to restock my freezer
1586	1	I use the knife to cut the beef	I use the fork to cut the beef
1587	1	eating too little is an unhealthy way to lose weight	eating too much is an unhealthy way to lose weight
1588	0	she was very angry when her son was admitted to the best school	she was very happy when her son was admitted to the best school
1589	0	wine cellars are not just for drinking	bars are not just for drinking
1590	0	my grandpa can't sleep so he took stimulant pills	my grandpa can't sleep so he took sleeping pills
1591	0	I'm looking for a policeman to mail the letter	I'm looking for a postman to mail the letter
1592	1	every time my cat eats a fish it is very happy	every time my cat eats bamboo it is very happy
1593	1	pandas are rare so we protect them in the zoo	we protect pandas in the zoo so they are rare
1594	0	she can become a model because she is out of shape	she can become a model because she has a good figure
1595	0	she asked the cook to add more salt because she loved sweets	she asked the cook to add more sugar because she loved sweets
1596	0	we listened carefully to what the teacher was thinking	we listened carefully to what the teacher was saying
1597	0	you need a hat to prevent the spread of infection	you need a mask to prevent the spread of infection
1598	0	I bought a razor for my mother as a gift	I bought a razor for my dad as a gift
1599	0	you need to hang off the phone when the phone is ringing	you need to answer the phone when the phone is ringing
1600	1	we agreed on a location before we met	we agreed on a location before we had a call
1601	0	the root shelters us from the rain	the roof shelters us from the rain
1602	0	we should order as much food as we can in the restaurant	we shouldn't order too much food in the restaurant
1603	1	Muslims do not eat pork because of religion	Muslims do not eat pork because of the taste
1604	0	Coca-Cola has been popular for hundreds of years because of its name	Coca-Cola has been popular for hundreds of years because of its taste
1605	1	I just can't balance myself to ride the bicycle	I just can't balance myself to drive the car
1606	0	he grew up one year younger after every birthday	he grew up one year older after every birthday
1607	1	air conditioning can change the temperature effectively	air conditioning can change the brightness effectively
1608	0	I got married after I found out that my wife had cheated on me	I divorced after I found out that my wife had cheated on me
1609	1	I used the leaves to pack the pork	I used the water to pack the pork
1610	1	I need a piece of soap to take a shower	I need toothpaste to take a shower
1611	0	the heroine kisses the audience in this movie	the heroine kisses her lover in this movie
1612	0	people in the desert don't need water	people in the desert lack water
1613	1	queuing is a rule for good order	queuing is a punishment for destroying order
1614	0	ears are the organs we use to breathe	nose is the organ we use to breathe
1615	0	we planted mines for a better world	we planted trees for a better world
1616	1	reading can improve our thinking ability	running can improve our thinking ability
1617	0	spring is the season of harvest	autumn is the season of harvest
1618	0	advertising is used to show the shortcomings of products	advertising is used to show the advantages of products
1619	1	she employs a driver because she can't drive	she employs a chef because she can't drive
1620	1	it's a great honor for me to have a talk with the president	it's a great honor for me to have a talk with my mother
1621	1	he needed a calculator to solve this difficult calculation	he needed a calculator to solve this simple calculation
1622	0	chatting with American is good for our Chinese learning	chatting with American is good for our English learning
1623	1	farmers can pick up apples on the trees	farmers can pick up apples on the ground
1624	1	Americans couldn't understand what he said because of his strange accent	Americans couldn't understand what he said because of his standard spoken English
1625	1	illness can be found during routine physicals	illness can be cured during routine physicals
1626	0	I earned money by sleeping	I earned money by working
1627	1	my mother found that she was pregnant yesterday	my father found that he was pregnant yesterday
1628	1	my nice wearing left a good impression on him	my nice wearing left a bad impression on him
1629	0	my new day began with a beautiful afternoon	my new day began with a beautiful morning
1630	0	I bought some beds to open a cafe	I bought some chairs to open a cafe
1631	0	rice is the main food for all the people	rice is the main food for some people
1632	1	the game company makes games for money	the game company makes games for encouragement
1633	0	the shopping mall is filled with car parks	the shopping mall is filled with shops
1634	1	the poem used many beautiful words	the poem used many beautiful pictures
1635	0	a wall without touching the sky is impossible	a wall without touching the ground is impossible
1636	0	the handle on the door is for decoration	the handle on the door is for ease of use
1637	1	newspapers are printed by printers	newspapers are printed by journalists
1638	0	I need to buy a CD to watch videos at home	I need to buy a CD to listen to music at home
1639	0	you can download a wrench on the Internet to fix the windows	you can buy a wrench on the Internet to fix the windows
1640	0	I bought a headphone to share the music with others	I bought a headphone to enjoy the music alone
1641	1	my parents went to different public toilets just now	my parents went to the same public toilet just now
1642	0	my mother asks me to litter my room every day	my mother asks me to tidy my room every day
1643	1	programmers write code every day to earn money	programmers plant crops every day to earn money
1644	0	you don't need learning to be a musician	you need to have a long time learning to be a musician
1645	1	the library is a good place to study because of its quiet environment	the library is a good place to sleep because of its quiet environment
1646	1	I'm writing code on the computer	I'm writing code on the paper
1647	1	I used paper bags to be environmentally friendly	I used plastic bags to be environmentally friendly
1648	0	we can work in the night thanks to the sunlight	we can work in the night thanks to the electricity
1649	0	soldiers wore fatigues to be attractive in the jungle	soldiers wore fatigues to hide in the jungle
1650	1	I gradually forgot something due to the memory decay	I gradually recalled something due to the memory decay
1651	0	Japanese has borrowed heavily from barking	Japanese has borrowed heavily from English
1652	0	I need a stamp to send this email	I need a stamp to send this letter
1653	0	I encourage my daughter to walk alone in the darkness	I forbid my daughter to walk alone in the darkness
1654	0	the rain fell into my head and my brain got wet	the rain fell into my shoes and my socks got wet
1655	0	I can't live without snacks	I can't live without food
1656	0	this is a bumper harvest year, we picked tons of leaves from apple trees	this is a bumper harvest year, we picked tons of apples from apple trees
1657	0	stone can warp the paper	stone can hit through the paper
1658	0	proper temperature can be found on the south pole	extreme temperature can be found on the south pole
1659	1	I chose the farther cafe because of the distance	proper temperature can be found on the south pole
1660	0	I felt happy again after eating terrible food	I felt sadder after eating terrible food
1661	0	I need inspirations to clean bowls	I need inspirations to design bowls
1662	1	the law gave the police the right to search your house	the uniform gave the police the right ro search your house
1663	1	I lit the fireplace to warm myself	I lit my house to warm myself
1664	0	the flowers are crying	the flowers are blooming
1665	1	we can play with dogs	we can talk with dogs
1666	0	he thought it would rain soon so he carried sunglasses	he thought it would rain soon so he carried an umbrella
1667	0	I brush my teeth every day to keep them dirty	I brush my teeth every day to keep them clean
1668	0	we can use fabricated data in scientific researches	we can use real data in scientific researches
1669	0	we should ignore the traffic light when we go across the road	we should pay attention to the traffic light when we go across the road
1670	1	the modern city is more industrialized than the countryside	the modern city is more agricultural than the countryside
1671	1	we went to the cemetery to remember the dead people	we went to the cemetery to chat with the dead people
1672	0	my best friend was in my lost wallet	my favorite photo was in my lost wallet
1673	1	if we pick up other's wallet, we should return it to the owner	if we pick up other's wallet, we should share it with our friends
1674	1	the language is a part of a nation's culture	the climate is a part of a nation's culture
1675	0	everyone has expensive fingerprints	everyone has unique fingerprints
1676	0	my heads hurt	my head hurts
1677	1	I found a lipstick in my mother's makeup cabinet	I found a lipstick in my mother's first-aid kit
1678	0	I fed pork to my wheat	I fed wheat to my pigs
1679	0	my family go to the park to see plum blossoms every summer	my family go to the park to see lotus every summer
1680	1	I bought some desserts in the shopping mall for my daughter	I bought some desert in the shopping mall for my daughter
1681	0	low-calorie food is more likely to make people fat	high-calorie food is more likely to make people fat
1682	1	the puppy wanted to find its mother's breast to be fed	the chick wanted to find its mother's breast to be fed
1683	1	humans' lifespan has been extended thanks to the development of medical technology	humans' lifespan has been shortened thanks to the development of medical technology
1684	1	one day humans will settle on another planet	one day humans will settle on another star
1685	1	sailors work in the ocean	sailors work on the land
1686	1	teachers assign homework to the students	teachers assign housework to the students
1687	0	appearance is not very important for actors	appearance is not very important for athletes
1688	1	nice wearing can cause people to notice you at the party	normal wearing can cause people to notice you at the party
1689	0	wearing a party hat to attend the funeral is perfect	wearing a party hat to attend the celebration is perfect
1690	0	you will feel inferior about yourself when you dress nice	you will feel better about yourself when you dress nice
1691	0	I cut my hair longer at the barber's	I cut my hair shorter at the barber's
1692	0	I can count the number of stars in the sky	I can count the number of the moon in the sky
1693	1	we can't breathe in the water because I don't have gills	we can't breathe in the water because I don't have tails
1694	0	I could drink the whiskey on his breath	I could smell the whiskey on his breath
1695	0	I sat in the trunk of the taxi with my girlfriend	I sat in the backseat of the taxi with my girlfriend
1696	0	chefs should wear gloves before preparing food for customers	chefs should wash their hands before preparing food for customers
1697	0	people go to jail because they don't want freedom	people go to jail because they sinned
1698	1	I saw snow in South Africa in June	I saw snow in Singapore in June
1699	0	an umbrella can help you keep warm in snowy days	a thicker cloth can help you keep warm in snowy days
1700	0	the plane is a useful transportation tool in campus	the bicycle is a useful transportation tool in campus
1701	1	fans went mad when their team scored a goal	fans were sad when their team scored a goal
1702	0	I got a scholarship for cheating in the exam	I was fined for cheating in the exam
1703	0	the hot weather made me keep bleeding	the hot weather made me keep sweating
1704	0	you don't need to try out products when you shop online	you can't try out products when you shop online
1705	0	reading can make driving a joyful thing	music can make driving a joyful thing
1706	0	everyone said I had two beautiful mouths	everyone said I had two beautiful lips
1707	1	relaxed mindset is a useful skill in marathon running	cat walking is a useful skill in marathon running
1708	1	both funerals and weddings are major ceremonies	both funerals and weddings are cheerful ceremonies
1709	1	I often bought chalk for teachers to write on the blackboards when I was a boy	I often bought chalk for teachers to write on the ipads when I was a boy
1710	1	his mother died for giving birth to him	his father died for giving birth to him
1711	0	gardeners grow crops in gardens	gardeners grow flowers in gardens
1712	0	I use Photoshop to change the color of my room	I use paint to change the color of my room
1713	0	I can't forget the night that I saw cells with telescope	I can't forget the night that I saw Mars with telescope
1714	1	I burned myself accidentally when I was cooking	I burned myself accidentally when I was taking a shower
1715	1	every time I hang out at the bar I will get drunk	every time I hang out at the cinema I will get drunk
1716	1	I gave birth to my eldest son	I gave birth to my grandson
1717	0	you should have your passport ready before you take domestic flights	you should have your passport ready before you take international flights
1718	0	I'm looking for a gas station to refuel my bicycle	I'm looking for a gas station to refuel my car
1719	1	I refused to drive after drinking wine	I refused to drive after drinking gas
1720	1	mushrooms are a very common dish in Asia	mushrooms are a very rare dish in Asia
1721	0	we can change our fingerprints when we want	we can change our names when we want
1722	0	flu can spread easily through eye contact	flu can spread easily through touch
1723	0	my son was terrified when he menstruated for the first time	my daughter was terrified when she menstruated for the first time
1724	1	airports are a feat of modern engineering	waterfalls are a feat of modern engineering
1725	1	I'm so busy that I haven't slept for two days	I'm so busy that I haven't slept for two years
1726	1	we can't breathe without the lungs	we can't breathe without the noses
1727	1	I brought my sailing ship to float in the sea	I brought my friendship to float in the sea
1728	0	he won a prize as best thief	he won a prize as best actor
1729	1	I don't know what's my real vocation	I don't know what's my real gender
1730	0	Joel said hello to his kids before traveling to Africa	Joel said goodbye to his kids before traveling to Africa
1731	0	you will find a payment counter in a police station	you will find a payment counter in a bank
1732	0	writing a story requires a beautiful voice	writing a story requires creativity
1733	1	a parachute bag can save your life when you are falling from a high place	a life jacket can save your life when you are falling from a high place
1734	0	I love my girlfriend and I want to break up with her	I love my girlfriend and I want to marry her
1735	1	humans can be identified by their unique fingerprints	humans can be identified by their unique names
1736	1	it has been rainy for a long time and the river flooded	it has been rainy for a long time and the river dried up
1737	1	I attended a classical concert to enjoy music	I attended a classical concert to enjoy the paintings
1738	1	music is a form of art	music is a form of artist
1739	1	a wood stove is a heat source	a plastic stove is a heat source
1740	0	where knowledge begins, science ends	where knowledge begins, religion ends
1741	0	many animals eat air but humans don't	many animals eat grass but humans don't
1742	1	I need to bring my wallet when I go to the restaurant	I need to bring my kitchenware when I go to the restaurant
1743	0	I am so unlucky to find my true love	I am so lucky to find my true love
1744	0	the sun rises sometimes in China	the sun rises every day in China
1745	1	I called the front counter and asked them to send some food to my room	I called the front counter and asked them to send some drugs to my room
1746	1	they have reserved a box for us in the theatre	they have reserved a table for us in the theatre
1747	1	I promised to help my boyfriend although I was too busy	I promised to help my boyfriend because I was too busy
1748	0	football players wear short sleeves to protect themselves	football players wear short sleeves to lose heat
1749	1	I want to make an appointment for a facial next week	I want to make an appointment for a facial last week
1750	1	plastic surgery is for beauty	plastic surgery is for health
1751	0	human liver is an expensive ingredient	goose liver is an expensive ingredient
1752	0	some ingredients are expensive because it's common	some ingredients are expensive because it's rare
1753	0	ingredients need to be photographed before being eaten	ingredients need to be cooked before being eaten
1754	0	I was disappointed because the expensive food tasted good	I was disappointed because the expensive food tasted bad
1755	1	garbage recycling is a green lifestyle	burying garbage is a green lifestyle
1756	1	thanks to the seat belt I survived in the car accident	thanks to the leather belt I survived in the car accident
1757	0	starving people care little about food sources	starving people care little about food quality
1758	1	natural disaster will pity no one	natural disaster will pity rich people
1759	1	a campfire can be nice on a cold night	a campfire can be nice in a cold tent
1760	0	boys usually can’t wear dress in China	boys usually don’t wear dress in China
1761	1	I need electricity to power my smart watch	I need fuel to power my smart watch
1762	0	I spent the whole night sleeping to get off the jet	I spent the whole night sleeping to get off the jet lag
1763	0	gardeners water the leaves of the trees every day	gardeners water the roots of the trees every day
1764	1	I wanted to join them because I enjoyed chatting with them	I wanted to quit them because I enjoyed chatting with them
1765	0	he found he was gay when he fell in love with a woman	he found he was gay when he fell in love with a man
1766	1	weighing an elephant is very difficult because of its heavy weight	weighing an elephant is very difficult because of its cute appearance
1767	1	the benign tumor doesn’t have fatal harm for you	the malignant tumor doesn’t have fatal harm for you
1768	0	kids catch butterflies for food	kids catch butterflies for fun
1769	1	drinking milk can help teenagers grow taller	drinking milk can help teenagers grow shorter
1770	0	I used to take notes on the pens	I used to take notes on the paper
1771	0	I use a knife to eat rice	I use a spoon to eat rice
1772	0	students need to write their scores on the examination paper	students need to write their names on the examination paper
1773	1	perming will make your hair curly	perming will make your hair longer
1774	0	twins died on the same day	twins were born on the same day
1775	1	one kilogram of stone is as heavy as one kilogram of feather	one kilogram of stone is much heavier than a kilogram of feather
1776	0	it's crazy to turn on the air conditioning on a freezing day	it's crazy to turn on the electricity fans on a freezing day
1777	0	we need different passports to visit different countries	we need different visas to visit different countries
1778	0	people doing noble things are really selfish	people doing unselfish things are really noble
1779	1	spring festival celebrates the first day of the Lunar New Year	spring festival celebrates the first day of the solar calendar new year
1780	1	after the loan we need to pay back to the bank	after the loan we need to give credit card back to the bank
1781	0	I always carry my desktop pc with me	I always carry my laptop with me
1782	0	Nike printed the prices on the clothes	Nike printed the logo on the clothes
1783	1	I took a video to record the process of my son making cakes for the first time	I took a photo to record the process of my son making cakes for the first time
1784	1	doctors often wear masks to prevent the spread of infection	doctors often wear masks to prevent being recognized
1785	1	I have more and more white hair as I get older	I have more and more black hair as I get older
1786	0	believers have ever really heard or seen god	nobody has ever really heard or seen god
1787	0	wearing slippers are a good choice for weddings	wearing leather shoes are a good choice for weddings
1788	0	grasshoppers can be a water source	grasshoppers can be a food source
1789	0	a open air park is a good place to stay on rainy days	a library is a good place to stay on rainy days
1790	1	most of the earth's surface is covered by water	most of the earth's surface is covered by dirt
1791	0	students attend concerts to further their education	students attend college to further their education
1792	1	language is one way to communicate for human beings	language is the only way to communicate for human beings
1793	1	language changes slowly as time goes by	language remains unchanged as time goes by
1794	1	a cup of coffee in the morning can make you more energetic	a cup of coffee in the morning can make you smarter
1795	0	I pressed the accelerator in my bicycle to speed up	I pressed the accelerator in my car to speed up
1796	0	I ate iron to end my hunger pains	I ate hamburgers to end my hunger pains
1797	0	the plane landed smoothly in the parking lot	the plane landed smoothly at the airport
1798	0	in old age, muscles go through a growth spurt	at adolescence, muscles go through a growth spurt
1799	0	animals develop from seeds	plants develop from seeds
1800	0	washing your car is for keeping it fast	washing your car is for keeping it clean
1801	1	people invented toothpaste to keep teeth clean	people invented toothpaste to keep toothbrush clean
1802	0	you can buy drinks from vending machines without paying money	you can buy drinks from vending machines without communicating with cashiers
1803	0	movie stars often photograph others in public	movie stars are often photographed by others in public
1804	0	it seems my joke is funny because nobody laughed	it seems my joke is funny because everybody laughed
1805	1	you need to be careful of sharks when you swim in the ocean	you need to be careful of sharks when you swim in the swimming pool
1806	0	I finished my work while I going to sleep	I finished my work before I going to sleep
1807	1	I can't afford the flight ticket from China to the US, so I decided to take ship	I can't afford the flight ticket from China to the US, so I decided to walk
1808	0	animals in the Acrobatic Troupe receive wages every day	animals in the Acrobatic Troupe are fed every day
1809	1	teammates are here to work with you in teamwork	teammates are here to encourage you in teamwork
1810	1	the teacher was very angry that I was late for school again and again	the teacher was very cheerful that I was late for school again and again
1811	1	girls wear skirts in winter for beauty	girls wear skirts in winter for warmth
1812	0	driving a car is a good choice to enjoy your stay at home	reading books is a good choice to enjoy your stay at home
1813	0	he scored a crucial goal by hand in a soccer match	he scored a crucial goal by head in a soccer match
1814	1	we built street lamps to provide a public service	we built street lamps to provide a personal service
1815	0	crops can't live without farmers	crops can't live without the sun
1816	0	I was very scared to see old friends abroad	I was very surprised to see old friends abroad
1817	0	Alice broke down when the situation was hopeful	Alice broke down when the situation was hopeless
1818	1	ice cream is more popular in summer than in winter	ice cream is more popular in winter than in summer
1819	0	my boss checks read messages carefully every day	my boss checks unread emails carefully every day
1820	0	we are vaccinated for the cure of the disease	we are vaccinated for disease prevention
1821	0	I bought a pan for drinking fresh juice	I bought a juicer for drinking fresh juice
1822	0	taking summer vacation caused lots of stress	taking final exams caused lots of stress
1823	1	clues can lead you to the answer	disguise can lead you to the answer
1824	0	you can definitely cook food well by following a recipe	you may cook food well by following a recipe
1825	1	the company fired some employees because of continued losses	the company hired more employees because of continued losses
1826	1	the deaf man can't hear me yelling	the blind man can't hear me yelling
1827	1	I'm waiting for a clear night to observe stars	I'm waiting for a cloudy night to observe stars
1828	1	building workers risk injury by not wearing safety helmets	building workers risk injury by not wearing baseball caps
1829	1	buying presents requires love and money	buying presents requires love or money
1830	0	going to the zoo is for being seen	going to the zoo is for seeing animals
1831	0	the horses water the cowboy everyday	a cowboy waters the horses everyday
1832	1	people expect enjoyment when they go to the cinema	people expect boredom when they go to the cinema
1833	0	Bob sang a picture yesterday	Bob painted a picture yesterday
1834	0	paying by credit card is for not paying money	paying by credit card is for not carrying cash
1835	1	you need an audience if you want to share your story	you need a dog if you want to share your story
1836	0	the players will buy a cup of beer before the basketball game begins	the audience will buy a cup of beer before the basketball game begins
1837	0	I need to say goodbye to people on TV when I finish watching the TV show	I need to turn off the TV when I finish watching the TV show
1838	1	goods can be transported by plane	goods can be transported by wind
1839	1	the ship hit the submarine yesterday	the ship hit the train yesterday
1840	0	I can lift the gym easily	I can lift gym equipment easily
1841	0	meeting my friends is for business	meeting my friends is for pleasure
1842	0	when you borrowed a car you can sell it to others	when you borrowed a car you can show it to others
1843	1	I had plastic surgery in the hospital	I had plastic surgery in the pharmacy
1844	1	fortunately the fat man lost weight by working hard	fortunately the fat man lost fingers by working hard
1845	0	couples would divorce if they believed each other	couples would divorce if they betrayed each other
1846	0	I stop eating salt food to lose weight	I stop eating sweet food to lose weight
1847	0	the weather can be either sweet or salt in China	the weather can be either cool or warm in China
1848	1	adults change clothes according to the weather every day	adults change clothes according to their height every day
1849	1	you can use ink to write things	you can use a link to write things
1850	1	museum exhibits artifacts for everyone to learn	museum exhibits artifacts for sale
1851	0	the alarm ringing announced that the class was over	the bell ringing announced that the class was over
1852	1	passengers need to undergo a rigorous safety check before boarding the plane	passengers need to undergo a rigorous safety check before taking a taxi
1853	1	you can use money to buy some products to live longer	you can use money to buy some health to live longer
1854	0	studying requires violence	studying requires patience
1855	1	we used optical microscopes to see cells in science class	we used optical microscopes to see atoms in science class
1856	0	designers show outdated clothes in a fashion show	designers show avant-garde clothes in a fashion show
1857	1	the young man offered his seat to the old lady on the bus	the driver offered his seat to the old lady on the bus
1858	0	I jumped into the fire to cool myself	I jumped into the water to cool myself
1859	1	my father sold the best products to become the best salesman	my father sold the best salesmen to become the best product
1860	0	I washed my computers twice a week	I washed my clothes twice a week
1861	0	I used to step on the mountain to get the sugar on the op of the cupboard	I used to step on the stone to get the sugar on the top of the cupboard
1862	1	a wall is the boundary of a house	a wall is the entrance of a house
1863	0	we built a factory to produce creative ideas	we built a factory to produce creative goods
1864	1	we use the microscope to learn about the microcosm	we use the microscope to learn about the universe
1865	0	we can find first class airplane seats in the wings of a plane	we can find first class airplane seats in the front of a plane
1866	1	when a relative dies, we held a funeral for him	when a relative dies, we held a party for him
1867	0	a bed can rest a pillow	a bed can rest a person
1868	1	parents will praise children when kids did something well	children will praise parents when kids did something well
1869	0	professional soccer players earn money by selling footballs	professional soccer players earn money by playing football games
1870	0	animals are pets	pets are animals
1871	0	we grow Christmas trees in December every year	we buy Christmas trees in December every year
1872	0	sun bathing removes dirt from the body	water bathing removes dirt from the body
1873	1	I bought a ticket for the train I took	I bought a ticket for the taxi I took
1874	0	he was fined for smoking in his home	he was fined for smoking in the airplane
1875	0	we took notes in class for recording what we were thinking	we took notes in class for not forgetting the knowledge
1876	1	I want to find a quiet place to have a sleep	I want to find a noisy place to have a sleep
1877	0	People open their doors when they go out of the home	People close their doors when they go out of the home
1878	1	People can talk chat with living people	People can chat with the dead
1879	0	Sweat will be secreted when the sand touches eyes	Tears will be secreted when the sand touches eyes
1880	1	People usually put curtains on the windows	People usually put curtains on the walls
1881	0	People usually roast meat with cold water	People usually roast meat over fire
1882	1	People usually enter the park from the entrance	People usually enter the park from the fence
1883	0	People usually like to wear oversize clothes	People usually like to wear fitted clothes
1884	1	People should abide by the contract	People should break the contract
1885	1	Rats can't bite metal furniture	Rats can't bite wood furniture
1886	0	Sheep usually like wolves	Sheep usually hate wolves
1887	0	College students usually learn the same courses	College students can learn different courses
1888	0	Eating a lot of instant noodles is healthy	Eating a lot of instant noodles is unhealthy
1889	0	Programmers usually don't use computers	Programmers often use computers
1890	0	if you fail the exam you should cheat next time	if you fail the exam you should study harder for next time
1891	0	I should indulge myself when I fail	I should refresh myself when I fail
1892	1	mom cooks the fried egg once a week for me	mom cooks the fried tiger meat once a week for me
1893	1	sprinters' legs are usually strong	sprinters' arms are usually strong
1894	0	I can take part in the soccer game in formal clothes	I can take part in the soccer game in athletic clothes
1895	1	we can travel on the sea by boat	we can travel on the sea by train
1896	1	chickens' eggs is delicious	pigs' eggs are delicious
1897	0	we can eat noodles with knives	we can eat noodles with forks
1898	0	birds' milk is nutrient	goats' milk is nutrient
1899	1	People can make wires from metal	People can make wires from plastics
1900	1	People can read newspapers to know what has happened recently	People can read newspapers to know what will happen in the future
1901	0	People should rub water on their skin before giving an injection	People should rub ethyl alcohol on their skin before giving an injection
1902	0	Something you might do while taking the bus is drawing an oil painting	Something you might do while taking the bus is reading a newspaper
1903	1	She felt full and satisfied after having lunch	She felt hungry and satisfied after having lunch
1904	0	Bob is cooking while eating dinner	Bob is chewing while eating dinner
1905	1	A rat can survive a fall from a five-floor building	A person can survive a fall from a five-floor building
1906	1	The longest nonstop flight by a bird is eight days	The longest nonstop flight by a dog is eight days
1907	1	He caught a cold and had a hot shower	He caught a cold and had a cold shower
1908	0	Humans smell through their ears	Humans smell through their noses
1909	0	Alice formed a habit of sleeping to keep fit	Alice formed a habit of jogging to keep fit
1910	1	It's winter and it's freezing cold outside	It's summer and it's freezing cold outside
1911	0	Frogs will die with enough water	Frogs will die without enough water
1912	0	Kate made books with a microwave oven	Kate made popcorn with a microwave oven
1913	1	Marry lit up firewoods to make a campfire	Marry lit up rocks to make a campfire
1914	1	Barry went under an umbrella to stay dry on a rainy day	Barry went under an umbrella to stay wet on a rainy day
1915	0	She goes skiing while watching TV	She eats snacks while watching TV
1916	1	Children in school use crayons for drawing	Children in school use cameras for drawing
1917	0	Wang is eating with poles	Wang is eating with chopsticks
1918	0	Dry towels need to hang up to dry	Wet towels need to hang up to dry
1919	1	Running is a good exercise	Resting is a good exercise
1920	1	Cookies and milk make a great dessert	Computers and milk make a great dessert
1921	0	a basket is for warmth	a blanket is for warmth
1922	1	attending class is for learning	attending class is for playing
1923	1	He throws up when he eats bad food	He throws up when he eats nice food
1924	1	Shoes are meant to protect feet	Shoes are meant to protect hands
1925	1	most people consider it to be cold when it is below zero degrees	most people consider it to be cold when it is above ninety degrees
1926	1	a piece of paper is used for writing	a piece of cake is used for writing
1927	1	Amy is happy to know that her best friend has recovered from the illness	Amy is angry to know that her best friend has recovered from the illness
1928	1	my jaw dropped open when I was shocked	my jaw dropped open when I was unhappy
1929	1	the filthy car needs to be washed	the filthy car needs to be painted
1930	1	my friend paid for my ticket so I got on the bus	my friend paid for my ticket so I didn't get on the bus
1931	0	dina visited her family because she distrusted them	dina visited her family because she missed them
1932	1	the balloon expanded as he blew into it	the balloon expanded as he pricked it
1933	1	maggie told a joke to lighten the mood of the conversation	maggie remained quiet to lighten the mood of the conversation
1934	1	a hammer dropped on Bill's foot and his toe was broken	a hammer dropped on Bill's foot and his finger was broken
1935	0	the clothes are still dirty because I forgot to add laundry water	the clothes are still dirty because I forgot to add laundry detergent
1936	0	air leaked out of the beach ball because it had a picture on it	air leaked out of the beach ball because it had a hole on it
1937	1	the conversation gradually lulled to silence as more people left	the conversation gradually lulled to silence as more people joined
1938	0	julia pressed down on a piano key to play a music	julia pressed down on a piano key to make a sound
1939	0	vehicles travelled slowly in cloudy days	vehicles travelled slowly in foggy days
1940	1	lauren gained weight so she had to get her suit altered	lauren gained weight so she had to get her shoes shined
1941	1	the clouds were getting darker so I brought my umbrella to work	the clouds were getting darker so I brought my laptop to work
1942	0	the boy lost hold of the soap because it's fragrant	the boy lost hold of the soap because it's slippery
1943	0	the button on my shirt fell off so I glued the button back on	the button on my shirt fell off so I sewed the button back on
1944	1	the celebrity wore sunglasses to avoid recognition	the celebrity wore sunglasses to help recognition
1945	1	the leader received praise because he fought poverty	the leader received praise because he raised taxes
1946	1	my mailbox was overflowing with letters when I went back after one month	my mailbox was overflowing with letters when I went back after five minutes
1947	1	the banana ripened so we ate them	the banana ripened so we threw them away
1948	0	the chef pressed down on the dough and the dough crumbled	the chef pressed down on the dough and the dough flattened
1949	0	my feet were blistered after a day of swimming	my feet were blistered after a day of hiking
1950	1	her eyeglasses fogged up as she entered the sauna	her eyeglasses fogged up as she exited the sauna
1951	0	he found the tv show boring so he recorded it	he found the tv show boring so he turned it off
1952	1	the boy was afraid to go to bed because he watched a horror movie	the boy was afraid to go to bed because he watched a comedy movie
1953	1	the girl wanted to be a doctor so she went to the medical school	the girl wanted to be a doctor so she went to the hospital
1954	1	thomas wanted to get revenge on his enemy	thomas wanted to get revenge on his friend
1955	0	the woman was mistaken for her sister because they sat close	the woman was mistaken for her sister because they looked alike
1956	1	she made an error in her calculations because she checked it only once	she made an error in her calculations because she checked it several times
1957	0	the girl politely declined the hamburger because she liked fast food	the girl politely declined the hamburger because she was a vegetarian
1958	1	miley scrubbed the stain on the floor and she got rid of the stain	miley scrubbed the stain on the floor and she got dirt on the floor
1959	1	the egg splattered after I dropped it	the egg splattered after I boiled it
1960	0	a group of teenagers crashed the party and the host invited them in	a group of teenagers crashed the party and the host kicked them out
1961	0	the man took a shower because he opened a new bar of soap	the man took a shower because he was sweaty from working out
1962	1	the screen of the laptop went black because it's battery died	the screen of the laptop went black because it's warranty expired
1963	0	the book became a unsalable and it was adapted into a movie	the book became a bestseller and it was adapted into a movie
